Engellenen Kişinin Adı Soyadı;Tc Kimlik Numarası;Engelleyen Kişi;Engelleme Nedeni;Tarih
Serkan Tunç;19283746505;Ali ÇELİK;Yatan hasta katlarında izinsiz hasta alt bezi ve medikal ürün pazarlaması;8.04.2026
Emre Yılmaz;84756192031;Ertuğrul YARALI;Sağlık kurulundan usulsüz engelli raporu talep edip kurula baskı yapma;7.04.2026
Hakan Demirtaş;48592017364;Yasemin ŞAHİN;Yemekhane firması personelinin idari katta yetkisiz dolaşımı ve sözlü münakaşa;6.04.2026
Mesut Vardar;74859610234;Kadir KARABACAK;Diyaliz ünitesi bekleme salonunda diğer hastalara rahatsızlık verme;3.04.2026
Cansu Erten;38475619202;Erol KAHRAMAN;Hastane asansör kabinlerine kasıtlı olarak zarar verme ve kameraları kapatmaya çalışma;2.04.2026
Gizem Aydın;92837465108;Durmuş TEMEL;Doğrudan temin fiyat araştırması sırasında rekabet kurallarını ihlal edip idareyi tehdit etme;1.04.2026
Turgut Sönmez;57483920165;Halit KARACA;Ameliyathane steril alana girmeye çalışma ve ameliyat ekibine zorluk çıkarma;31.03.2026
Melis Yılmaz;29384756102;Cafer Ünlü;Atık su arıtma tesisi bölgesine izinsiz girerek yetkisiz numune alma girişimi;30.03.2026
Serdar Koç;84756192039;Celal YARDIMCI;Kurum bahçesinde izinsiz dernek bağışı toplama faaliyetinde bulunma;27.03.2026
Ozan Kılıç;10293847564;Hamide Parlatan;Kan alma biriminde sırasını beklemeyerek laboratuvar teknisyenine şişe fırlatma;26.03.2026
Fatma Uğur;65748392014;Ali Haydar Dadacı;Geçmişte husumetli olduğu personeli hastane içinde takip ve taciz etme;25.03.2026
Gökhan Demir;37485910268;Mehmet Emin KILIÇ;Temizlik ihalesine fesat karıştırma şüphesiyle savcılığa sevk edilen firma yetkilisi;24.03.2026
Elif Kurt;48571920366;Ali ÇELİK;Poliklinikte görevli kadın hekime yönelik sözlü taciz ve ısrarlı takip;23.03.2026
Volkan Aslan;19283746508;Ertuğrul YARALI;Adli tıp vakasında raporun değiştirilmesi için idareye rüşvet teklifi;20.03.2026
Derya Can;74859610232;Yasemin ŞAHİN;Ayniyat depolarına izinsiz girerek tıbbi sarf malzemesi karıştırma;19.03.2026
Semih Polat;58493021768;Erol KAHRAMAN;Sivil savunma ekipmanlarına (yangın tüpü) kasten zarar vererek panik yaratma;18.03.2026
Aslıhan Güneş;29384756106;Kadir KARABACAK;Acil serviste beyaz kod sonrası polise ifade vermekten kaçıp idari kata saklanma;17.03.2026
Mert Çetin;92837465102;Durmuş TEMEL;Medikal gaz dolum fişlerinde sahtecilik yapılarak fazla fatura kesilmeye çalışılması;16.03.2026
Ceyda Yıldız;38475619206;Halit KARACA;Endoskopi ünitesi randevusunu öne almak için personeli tehdit etme;13.03.2026
Pınar Acar;84756192036;Cafer Ünlü;Çamaşırhane bölgesinde hijyen kurallarını ihlal eden dış tedarikçi şoförü;12.03.2026
Koray Yavuz;10293847568;Hamide Parlatan;Servis hemşirelerinin dinlenme odasına izinsiz girerek kişisel eşyaları karıştırma;11.03.2026
Seda Doğan;65748392016;Celal YARDIMCI;Evrak kayıt biriminde evrakları yırtma ve kamu malına zarar verme;10.03.2026
Aylin Gürbüz;48592017368;Ali Haydar Dadacı;Hastane bahçesinde hasta yakınlarına musallat olan değnekçi/otopark mafyası;9.03.2026
Tarık Koçak;37485910266;Mehmet Emin KILIÇ;Odyometri ihalesine sahte vekaletname ile katılmaya çalışan şahıs;6.03.2026
Funda Çetin;19283746506;Ali ÇELİK;Reçetesiz yeşil reçeteli ilaç yazdırmak için nöbetçi hekim odasına zorla girme;5.03.2026
Eren Yıldırım;74859610236;Ertuğrul YARALI;Başhekim yardımcıları sekreterliğinde arbede çıkarma;4.03.2026
Zeynep Korkmaz;57483920162;Yasemin ŞAHİN;Morg ünitesinden izinsiz cenaze nakli yapmaya çalışan yetkisiz şirket personeli;3.03.2026
Murat Tekin;29384756104;Erol KAHRAMAN;Hastane yangın merdivenlerini işgal edip uygunsuz davranışlarda bulunma;2.03.2026
Kübra Polat;92837465106;Kadir KARABACAK;Fizik tedavi FTR salonuna ayakkabıyla girip personelin üzerine yürüme;27.02.2026
Aykut Yılmaz;38475619204;Durmuş TEMEL;Personel servis şoförleri arasında çıkan hastane içi kavgaya karışma;26.02.2026
Ece Karataş;84756192032;Halit KARACA;Görüntüleme (MR) merkezinde cihazın çalışmasını kasıtlı olarak engelleme;25.02.2026
Kaan Erdem;10293847562;Cafer Ünlü;Hastane yemekhanesine kaçak girerek hasta yemeklerini izinsiz alma;24.02.2026
Ceren Bulut;65748392012;Hamide Parlatan;Doğumhane bekleme alanında sağlık personeline sinkaflı küfür etme;23.02.2026
Onur Dağlı;48571920362;Celal YARDIMCI;Maaş mutemetliğine zorla girerek icra dairesi evraklarını imha etme çabası;20.02.2026
Tamer Şen;37485910264;Ali Haydar Dadacı;Hasta mağduriyeti kurgulayarak makamdan haksız tazminat/ödeme koparma girişimi;19.02.2026
Leyla Kurt;19283746504;Mehmet Emin KILIÇ;Medikal firma yetkilisinin, başka bir firmanın ürünlerine sabotaj yapması;18.02.2026
Nihan Kaya;74859610231;Ali ÇELİK;Yoğun bakım hasta bilgilendirme saatlerinde kapıyı kırarak içeri girme teşebbüsü;17.02.2026
Pelin Doğan;58493021762;Ertuğrul YARALI;E-Nabız verilerini sildirmek amacıyla bilgi işlem sistem odasına sızma girişimi;16.02.2026
Caner Yavuz;29384756101;Yasemin ŞAHİN;Kreş birimine ebeveynlik yetkisi olmadan zorla girmeye çalışma;13.02.2026
Sibel Çetin;92837465101;Erol KAHRAMAN;Atık geçici depolama alanından tıbbi atık çalmaya çalışırken yakalanma;12.02.2026
Fatih Şahin;38475619201;Kadir KARABACAK;Hastane eczanesinden narkotik ilaç hırsızlığı şüphesiyle yakalanma;11.02.2026
Duygu Tekin;84756192034;Durmuş TEMEL;Satınalma komisyon başkanının aracını otoparkta çizme ve zarar verme;10.02.2026
Harun Polat;10293847561;Halit KARACA;Engelli tuvaletlerinde uyuşturucu madde kullanımı tespiti;9.02.2026
Alper Yılmaz;65748392018;Cafer Ünlü;Jeneratör odasına girip şalterleri indirmeye çalışarak hastaneyi riske atma;6.02.2026
İrem Karataş;48592017362;Hamide Parlatan;Göğüs hastalıkları servisinde oksijen panellerine sigara ile yaklaşma ve direnme;5.02.2026
Merve Bulut;37485910261;Celal YARDIMCI;Hastane arşivinden kendi adli vaka dosyasını çalma girişimi;4.02.2026
Cansu Acar;19283746501;Ali Haydar Dadacı;Sosyal medyada asılsız kurum karalaması yapan eski taşeron personel;3.02.2026
Haluk Şen;74859610239;Mehmet Emin KILIÇ;Hastane bahçesinde kuruma ait jeneratör yakıtını çalarken suçüstü yakalanma;2.02.2026
Gülçin Kurt;57483920161;Ali ÇELİK;Acil tıp uzmanına makasla saldırma girişimi (Polis müdahalesi ile alındı);30.01.2026
Tayfun Yıldız;29384756109;Ertuğrul YARALI;Poliklinik katlarında yankesicilik şüphesiyle tespit edilme;29.01.2026
Seda Kaya;92837465109;Yasemin ŞAHİN;Cihaz bakım ihalesini alamayınca idareye hakaret içerikli faks ve e-posta gönderme;28.01.2026
Aylin Doğan;38475619209;Erol KAHRAMAN;Gece saatlerinde hastane çatısına izinsiz çıkarak intihar simülasyonu yapma;27.01.2026
Murat Yavuz;84756192037;Kadir KARABACAK;Laboratuvar pnömatik tüp sistemine yabancı cisim atarak sistemi tıkama;26.01.2026
Büşra Gürbüz;10293847569;Durmuş TEMEL;Personel devam kontrol sistemi (PDKS) cihazını kırarak işleyişi bozma;23.01.2026
Serkan Çetin;65748392017;Halit KARACA;Onkoloji servisinde hastalara ruhsatsız alternatif tıp karışımları satma;22.01.2026
Orhan Tekin;48571920369;Cafer Ünlü;Acil çıkış yönlendirme tabelalarını söküp çalarken yakalanma;21.01.2026
Melike Polat;37485910269;Hamide Parlatan;"Yoğun bakımdaki hasta yakınına sahte ""üfürükçü"" olarak kendini tanıtıp para talep etme";20.01.2026
Volkan Demir;19283746509;Celal YARDIMCI;Faturalandırma biriminde bilgisayar ekranlarını devirme;19.01.2026
Elif Yılmaz;74859610237;Ali Haydar Dadacı;Makam aracı park yerine aracını kilitleyip güvenlik görevlilerine bıçak çekme;16.01.2026
