Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu
Uğur Demir;19283746501;9.03.2026;15:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Çatı izolasyon onarım işi kesin kabul tutanağı ve ödeme emri
Asuman Polat;74859610231;9.03.2026;11:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Poliklinik hasta yönlendirme monitörlerinin HDMI kablo ve montaj alımı
Mert Yılmaz;Maaş Mutemedi;9.03.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Sürekli işçi kadrosuna geçen personelin geriye dönük fark ödemeleri
Seda Acar;38475619201;6.03.2026;14:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Cerrahi motor sistemleri (matkap) batarya yenileme teklif dosyası
Kenan Doğan;65748392011;6.03.2026;10:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Hasta alt bezi doğrudan temin alımı 2. parti teslimat kontrolü
Turgut Koçak;92837465103;5.03.2026;16:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yeni hekim odaları ofis mobilyası ve bilgisayar temini nihai ödemesi
Büşra Şahin;Satınalma Şefi;5.03.2026;13:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Yemek hakediş dosyası personel ve hasta kumanya sayımı mutabakatı
Elif Çelik;57483920163;5.03.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Kış dönemi grip aşıları depo stok girişleri ve fatura ödemesi
Mesut Tekin;29384756103;4.03.2026;14:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Acil tıp servisi sarı alan yatak bariyerleri onarım faturası
Ceren Aslan;84756192033;4.03.2026;09:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Göz polikliniği otorefraktometre cihazı yedek parça sipariş formu
Kerem Dağlı;10293847563;3.03.2026;15:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Temizlik personeli Şubat ayı asgari ücret fiyat farkı hakediş faturası
Yasin Karaca;37485910263;3.03.2026;11:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Ameliyathane narkotik dolapları dijital kilit sisteme geçiş ihalesi
Tuğba Yıldız;58493021763;3.03.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Engelli tuvaletleri acil çağrı sistemi buton onarım malzemeleri alımı
Volkan Demir;Ayniyat Saymanı;2.03.2026;14:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Hastane otopark otomasyonu yazılım güncellemesi bütçe talebi
Esra Çetin;19283746503;2.03.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Biyokimya hormon kitleri DMO sipariş onayı ve ödenek tahsisi
Fatih Gürbüz;74859610233;27.02.2026;16:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Arşiv dairesi sel hasarı sonrası kompkat raf tamiratı kesin hakediş
Gizem Yılmaz;38475619203;27.02.2026;13:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Poliklinik sıramatik kağıtları ve toner sarf malzemesi ihale onayı
Uğur Polat;Döner Sermaye Saymanı;27.02.2026;09:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Ocak ayı tabip dışı personel döner sermaye ek ödeme mutabakatı
Asuman Demir;65748392013;26.02.2026;14:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Eczane buzdolapları ısı takip sensörü kalibrasyon firma hakedişi
Mert Acar;92837465105;26.02.2026;10:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Merkezi ısıtma chiller sistemi periyodik bakım faturası ödemesi
Seda Koç;57483920166;25.02.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Tıbbi mümessil bağışları kapsamında cihaz kabul ve zimmet işlemleri
Kenan Dağlı;48571920366;25.02.2026;11:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Yeni alınan kuvözlerin kurulum onayı ve demirbaş kaydı
Turgut Şahin;29384756106;25.02.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Tıbbi atık imha komisyonu raporu ve ocak ayı bertaraf faturası
Meltem Tekin;84756192036;24.02.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Laboratuvar otomasyon (LIS) sunucu lisans yenileme sözleşmesi
Aykut Karaca;10293847566;24.02.2026;09:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;FTR robotik rehabilitasyon cihazı kiralama faturası ve hakediş
Ceren Yıldız;İnsan Kaynakları Uzmanı;23.02.2026;16:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Emekliye ayrılan personelin kıdem tazminatı hesaplama ve onayı
Kerem Çelik;37485910266;23.02.2026;13:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane tabelaları ve yönlendirme levhaları değişimi faturası
Nihan Demir;58493021766;23.02.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Yemekhane soğuk oda izolasyon tamiratı doğrudan temin evrakı
Volkan Aslan;19283746506;20.02.2026;14:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş protez laboratuvarı zirkonyum blok sarf alımı fiyat araştırması
