Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu
Gökhan Demir;57483920164;21.04.2026;14:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Ameliyathane hepa filtre değişim işlemleri firma hakediş onayı
Elif Kurt;Başhemşire Yardımcısı;20.04.2026;11:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Servis hemşireleri mayıs ayı nöbet listelerinin onaya sunulması
Volkan Aslan;48571920364;17.04.2026;16:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Tıbbi atık taşıma araçlarının hastane içi güzergah revizyonu
Derya Can;Sosyal Hizmet Uzmanı;17.04.2026;09:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Kimsesiz hastanın taburculuk sonrası bakım merkezi koordinasyonu
Semih Polat;29384756105;16.04.2026;14:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Kantin işletmesinin SKS hijyen kuralları çerçevesinde denetlenmesi
Aslıhan Güneş;Çocuk Hastalıkları Uzmanı;16.04.2026;10:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Pediatri servisine alınacak yeni kuvözlerin teknik şartname değerlendirmesi
Mert Çetin;65748392017;15.04.2026;13:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;MR görüntüleme cihazı periyodik helyum dolumu koordinasyonu
Yasin Arslan;Hastane Polisi;14.04.2026;15:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Acil serviste yaşanan beyaz kod vakasının adli tutanak süreçleri
Ceyda Yıldız;84756192038;14.04.2026;09:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Yenidoğan işitme tarama cihazı kalibrasyon raporunun teslimi
İbrahim Kaya;Destek Hizmetleri Şefi;13.04.2026;11:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Morg ünitesi iklimlendirme sistemleri arıza bildirim raporu
Pınar Acar;10293847569;10.04.2026;16:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Kan merkezi kan saklama dolapları ısı takip sensörü montajı
Koray Yavuz;Biyomedikal Mühendisi;10.04.2026;10:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hurdaya ayrılacak miadı dolmuş tıbbi cihazların HEK komisyonu onayı
Seda Doğan;37485910265;9.04.2026;14:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Tıbbi mümessil ziyareti ve yeni nesil antibiyotik etken madde sunumu
Burak Erdoğan;İlçe Emniyet Müdürü;8.04.2026;11:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Tutuklu hasta koğuşu güvenlik tedbirlerinin istişare edilmesi
Aylin Gürbüz;58493021768;7.04.2026;15:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Çamaşırhane yıkama makineleri deterjan ihalesi ön teklif sunumu
Tarık Koçak;Genel Cerrahi Uzmanı;7.04.2026;09:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Endoskopi ünitesindeki cihaz eksikliklerinin acil alım talebi
Funda Çetin;19283746505;6.04.2026;13:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Yoğun bakım enteral beslenme ürünleri stok durum analizi
Eren Yıldırım;İSG Uzmanı;3.04.2026;16:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Hastane personeli periyodik iş sağlığı ve güvenliği eğitim planlaması
Zeynep Korkmaz;74859610238;3.04.2026;10:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Hasta yemekleri kalite kontrolü ve kalori değerleri değerlendirmesi
Murat Tekin;Sivil Savunma Uzmanı;2.04.2026;14:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hastane yangın söndürme sistemleri periyodik basınç testleri onayı
Kübra Polat;38475619207;1.04.2026;09:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Poliklinik hasta yönlendirme (kiosk) cihazları yazılım lisans yenilemesi
Sinan Şahin;92837465106;31.03.2026;15:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Güvenlik görevlileri yaka kamerası sistemi veri depolama sorunları
Aykut Yılmaz;Ameliyathane Koordinatörü;31.03.2026;11:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Cerrahi branşların aylık vaka sayıları ve masa kullanım oranları
Ece Karataş;57483920168;30.03.2026;14:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Ortopedi servisi protez malzemeleri doğrudan temin teklifleri
Kaan Erdem;Teknik Servis Sorumlusu;30.03.2026;09:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Merkezi oksijen sistemi manifold dairesi aylık kaçak kontrol raporu
Ceren Bulut;48571920368;27.03.2026;16:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Yeni atanan hemşirelerin uyum programı ve servis dağılımları
Onur Dağlı;29384756109;26.03.2026;10:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Hasta transfer ambulansı GPS araç takip sistemi arıza bildirimi
Selin Acar;Diyetisyen;25.03.2026;14:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Diyabet hastaları için özel nütrisyon menü planlamasının onayı
Tamer Şen;65748392019;25.03.2026;09:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Fizik tedavi ve rehabilitasyon (FTR) robotik cihaz kiralama sözleşmesi
Leyla Kurt;84756192039;24.03.2026;15:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Hasta bekleme salonlarındaki ekranların bilgi işlem entegrasyonu
Cemal Yıldız;Acil Tıp Uzmanı;24.03.2026;11:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Acil servis sarı alan yatak kapasitesinin artırılması talebi
Nihan Kaya;10293847562;23.03.2026;13:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;E-Nabız veri gönderim hatalarının giderilmesi yazılım güncellemesi
Oktay Çelik;Organ Nakli Koordinatörü;20.03.2026;09:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Beyin ölümü gerçekleşen vakanın organ bağış prosedürleri
Pelin Doğan;37485910269;20.03.2026;16:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Laboratuvar tüp taşıma (pnömatik) sistemi arıza onarım onayı
Caner Yavuz;58493021762;19.03.2026;10:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Tıbbi mümessil firma yetkilisi onkoloji ilaçları sunumu
Ecevit Gürbüz;Adli Tıp Uzmanı;19.03.2026;14:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Şüpheli ölüm vakası otopsi süreci bilgilendirmesi
Sibel Çetin;19283746509;18.03.2026;09:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Sterilizasyon üniteleri otoklav cihazı validasyon testi sonuçları
Fatih Şahin;74859610232;18.03.2026;15:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Merkezi ısıtma-soğutma (chiller) sistemi aylık periyodik bakımı
Duygu Tekin;İnsan Kaynakları Uzmanı;17.03.2026;11:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;İŞKUR üzerinden alınacak temizlik personeli kura mülakat komisyonu
Harun Polat;38475619202;16.03.2026;14:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hastane eczanesi HBYS (Hastane Bilgi Yönetim Sistemi) modülü eğitimi
Asuman Demir;Göz Hastalıkları Uzmanı;16.03.2026;10:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Fako (katarakt) cerrahisi sarf malzeme eksikliği acil kodlu bildirim
Alper Yılmaz;92837465109;13.03.2026;15:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Arşiv dairesi kompakt raf sistemleri ray onarım işi
İrem Karataş;57483920162;13.03.2026;09:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Yeni kurulan Uyku Laboratuvarı polisomnografi cihazı teslimi
Barış Erdem;Radyasyon Onkolojisi Uzmanı;12.03.2026;13:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;LINAC cihazı kalite kontrol dozimetre ölçüm raporları
Merve Bulut;48571920362;12.03.2026;10:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Hemodiyaliz sarf malzemeleri asit-baz solüsyon alım ihalesi
Kemal Dağlı;Anestezi Teknisyeni;11.03.2026;16:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Ameliyathane narkotik ilaç dolaplarının dijital kilit sisteme geçişi
Cansu Acar;29384756102;10.03.2026;11:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Hasta alt bezi ve yara bakım ürünleri numune değerlendirmesi
Haluk Şen;65748392012;10.03.2026;09:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Engelli hasta taşıma asansörlerinin revizyon ve etiketleme süreci
Gülçin Kurt;Kalite Birim Hemşiresi;9.03.2026;14:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;İlaç hatalarını önleme komitesi aylık kök neden analiz toplantısı
Tayfun Yıldız;84756192032;9.03.2026;10:05;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Jeneratör odası yakıt tankı temizlik ve sızdırmazlık test raporu
Seda Kaya;10293847564;6.03.2026;15:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Poliklinik sekreterlikleri barkod yazıcı arızaları ve yedek parça temini
Engin Çelik;Başeczacı;6.03.2026;11:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Stok fazlası ve miadı yaklaşan ilaçların il içi takas işlemleri
Aylin Doğan;37485910262;5.03.2026;13:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Hasta refakatçi koltuklarının yüzey dezenfeksiyonu ve döşeme yenilemesi
Murat Yavuz;Göğüs Hastalıkları Uzmanı;4.03.2026;09:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Bronkoskopi ünitesi video işlemci modülü arızasının tespiti
Büşra Gürbüz;58493021765;3.03.2026;14:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Yeni hekim odası tefrişat ve ofis mobilyası teslimat koordinasyonu
Serkan Çetin;19283746502;2.03.2026;10:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Yemekhane sıcak servis bankosu termostat arızası firma müdahalesi
Dilek Şahin;Kan Merkezi Sorumlusu;27.02.2026;16:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Kızılay kan bağış aracı kampanya alanı yer tahsis ve elektrik bağlantısı
Orhan Tekin;74859610235;27.02.2026;11:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Yoğun bakım hasta başı monitörlerin merkezi istasyona veri aktarım sorunu
Melike Polat;Psikolog;26.02.2026;15:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Çalışanlara yönelik tükenmişlik sendromu anket sonuçları değerlendirmesi
Volkan Demir;38475619205;26.02.2026;09:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;İnternet altyapısı fiber kablolama işlemlerinin servis işleyişine etkisi
Elif Yılmaz;92837465104;25.02.2026;13:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Taşeron temizlik personeli özlük dosyaları ve SGK girişlerinin incelenmesi
Cengiz Karataş;Kadın Doğum Uzmanı;24.02.2026;10:05;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Doğumhane NST cihazı proplarının yenilenmesi acil talep
Tuğba Erdem;57483920165;23.02.2026;16:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Radyoloji PACS sistemi görüntü işleme hızı sunucu optimizasyonu
Hasan Bulut;Mali İşler Şefi;23.02.2026;11:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hastane döner sermaye ocak ayı ödeme tablolarının taslak onayı
Esra Dağlı;48571920365;20.02.2026;14:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Yenidoğan yoğun bakım (NICU) fototerapi cihazları lamba değişimi
Kadir Acar;Sivil İnisiyatif Derneği Yön.;20.02.2026;09:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Çocuk servisinde yatan hastalar için 23 Nisan ön etkinlik izin talebi
Nermin Şen;29384756104;19.02.2026;15:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Hastane santral sistemi IP telefon yönlendirme güncellemesi
Ayhan Kurt;Mutemet;19.02.2026;10:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Sürekli işçi kadrosuna geçen personelin yolluk ve harcırah işlemleri
Sevgi Yıldız;65748392014;18.02.2026;13:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Ameliyathane cerrahi motor sistemleri yedek batarya alımı
Rıdvan Kaya;Üroloji Uzmanı;17.02.2026;09:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;ESWL (taş kırma) ünitesi lazer probu kalibrasyon sorunu
Merve Çelik;84756192035;17.02.2026;16:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Giyinme odaları personel dolapları kilit yenileme ve tahsis işlemi
Selim Doğan;Kalp Damar Cerrahi Uzm.;16.02.2026;11:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;ECMO cihazı sarf malzeme tüketim oranları ve acil stok talebi
Canan Yavuz;10293847565;13.02.2026;14:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Tıbbi atık poşetleri ve kesici delici alet kutusu ihalesi numune onayı
Erkan Gürbüz;37485910264;13.02.2026;10:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Laboratuvar otomasyonu LIS sistemi veri tabanı senkronizasyon hatası
Aylin Çetin;Fizyoterapist;12.02.2026;15:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;FTR ünitesi ultrason cihazı başlık (prob) değişimi değerlendirmesi
Tolga Şahin;58493021769;12.02.2026;09:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Acil servis kan alma tüplerindeki vakum problemi şikayeti ve iade
Berrin Tekin;19283746504;11.02.2026;14:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Engelli tuvaletleri çağrı butonları çekme ipi onarım tutanağı
Fikret Polat;Ortopedi Uzmanı;10.02.2026;11:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;C-Kollu skopi cihazı radyasyon sızıntı testi ve güvenlik raporu
Derya Demir;74859610239;9.02.2026;16:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Merkezi sterilizasyon ünitesi distile su cihazı reçine değişimi
Levent Yılmaz;Hasta Hakları Sorumlusu;9.02.2026;10:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Yabancı uyruklu hastanın tercüman eksikliğinden kaynaklı süreç gecikmesi
Seda Karataş;38475619209;6.02.2026;14:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Tıbbi genetik laboratuvarı cihaz kurulumu için fiziksel mekan kontrolü
Kerem Erdem;92837465107;5.02.2026;09:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Poliklinik hasta çağrı ekranları (Q-Matik) sesli anons sistemi arızası
Aysel Bulut;Biyolog;4.02.2026;15:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;PCR cihazı termal döngü modülü ısı kalibrasyon uygunsuzluğu
Mustafa Dağlı;57483920169;3.02.2026;11:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Jeneratör yük testi sırasındaki voltaj dalgalanması hasar raporu
Zeren Acar;48571920369;3.02.2026;09:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Mümessil tanıtım izin formları ve poliklinik ziyaret saatleri denetimi
Uğur Şen;Sivil Savunma Amiri;2.02.2026;13:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Sığınak alanı havalandırma motorları kapasite artırım projesi
Çiğdem Kurt;29384756107;30.01.2026;16:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Günübirlik cerrahi ünitesi yatak bariyerleri ve etajer alımı
Semih Yıldız;Eczacı;30.01.2026;10:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;İlaç imha komisyonu tutanaklarının çevre şehircilik onayı hazırlığı
Betül Kaya;65748392017;29.01.2026;14:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Hastane kütüphanesine bağışlanan tıbbi yayınların kayıt altına alınması
Gökhan Çelik;84756192037;28.01.2026;09:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Kan alma koltukları motor piston arızası garanti kapsamında müdahale
Pınar Doğan;Tıbbi Sekreter Sorumlusu;27.01.2026;15:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Tıbbi dökümantasyon arşivi klasör rafları devrilme riski bildirimi
Alper Yavuz;10293847567;27.01.2026;11:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Asansör bakım firması aylık hakediş dosyası asansör yeşil etiket onayı
Asuman Gürbüz;37485910267;26.01.2026;14:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Hastane tabelaları ve yönlendirme levhalarının SKS'ye göre revizyonu
Mert Çetin;İş Yeri Hekimi;23.01.2026;10:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Kesici delici alet yaralanmaları ocak ayı istatistik ve aksiyon planı
Ece Şahin;58493021767;22.01.2026;16:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Fizik tedavi sıcak paket (hotpack) ısıtma kazanı rezistans arızası
Serdar Tekin;İdari Nöbetçi Uzman;21.01.2026;11:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hafta sonu acil servis yeşil alan yoğunluğu ve ek hekim talebi
Kübra Polat;19283746507;21.01.2026;09:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Kadın doğum kliniği yenidoğan kuvöz içi ısıtıcı sensör siparişi
Yasin Demir;74859610237;20.01.2026;14:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Mutfak doğalgaz alarm sistemleri ve selenoid vana kalibrasyonu
Gizem Yılmaz;Laboratuvar Sorumlu Tek.;20.01.2026;10:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Kan gazı cihazı reaktif kit siparişinde lot uyuşmazlığı iade süreci
Turgut Karataş;38475619207;19.01.2026;15:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Çatı izolasyon akıntısının ameliyathane koridoruna etkisi ve acil onarım
Melis Erdem;92837465101;16.01.2026;11:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Evde sağlık araç filosu kışlık lastik değişimi ve bakım faturaları
Koray Bulut;Nöbetçi Şef;16.01.2026;09:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Gece nöbetinde yaşanan hasta yakını taşkınlığı beyaz kod tutanağı
Seda Dağlı;57483920161;15.01.2026;14:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Acil çıkış kapıları panik bar kilit sistemlerinin tamiratı
Burak Acar;48571920361;14.01.2026;10:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Güvenlik personeli kapı tipi metal detektörü kalibrasyon ayarları
Aylin Şen;29384756101;13.01.2026;15:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Süt sağma makinesi sarf setlerinin pediatri servisine zimmetlenmesi
Tarık Kurt;Ruh Sağlığı Uzmanı;12.01.2026;11:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Kapalı psikiyatri servisi yatak ve kapı mekanizmaları güvenlik tespiti
Funda Yıldız;65748392011;12.01.2026;09:40;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Kurum içi eğitim salonu projeksiyon cihazı ve ses sistemi kurulumu
Eren Kaya;84756192031;9.01.2026;14:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Yemek hakediş dosyası personel ve hasta kumanya sayımı mutabakatı
Zeynep Çelik;Enfeksiyon Hastalıkları Uzm.;8.01.2026;10:05;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Kış dönemi influenza aşılarının personel bazlı uygulanma istatistiği
Murat Doğan;10293847561;7.01.2026;15:10;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Hastane bahçe peyzaj düzenlemesi ve dış aydınlatma armatür değişimi
Kübra Yavuz;37485910261;6.01.2026;11:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Diyaliz ünitesine hasta taşıma servis araçlarının güzergah optimizasyonu
Sinan Gürbüz;Taşeron Firma Şefi;5.01.2026;09:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hastane temizlik ihalesi yeni dönem sözleşme imza ve şartname teslimi
Aykut Çetin;58493021761;2.01.2026;14:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Yeni yıl nöbet çizelgelerinin HBYS sistemine işlenmesi ve kontrolü
