Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu (İptal Gerekçesiyle)
Volkan Demir;48571920362;15.04.2026;13:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Hasta alt bezi doğrudan temin fiyat pazarlığı (Firmanın fiyat revizyonu yapamaması üzerine randevu iptali)
Esra Şahin;SGK İl Müdürlüğü Denetmeni;14.04.2026;09:30;Başhekimlik;Başhekim;Ali Haydar Dadacı;Fizik tedavi ayaktan hasta fatura kesintileri itiraz görüşmesi (Denetmenin yıllık izne ayrılması sebebiyle ertelendi)
Fatih Dağlı;10293847566;13.04.2026;15:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Otopark bariyer sistemleri HGS entegrasyonu yazılım sunumu (Yazılımdaki sistemsel hata nedeniyle iptal)
Gizem Yıldız;37485910268;10.04.2026;11:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Tıbbi gaz (oksijen/azot) periyodik dolum faturası itirazı (Firma yetkilisinin il dışında olması nedeniyle randevu iptali)
Uğur Karaca;58493021762;9.04.2026;14:00;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Yenidoğan servisi kuvöz içi ısıtıcı sensör numune teslimi (Numunelerin gümrükte takılması sebebiyle iptal)
Asuman Çelik;29384756108;8.04.2026;09:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Röntgen tüpü değişimi servis formu onayı (Teknik servisin başka bir hastanedeki acil arızaya gitmesiyle iptal)
Mert Polat;74859610236;7.04.2026;16:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Kantin işletmesi yıllık kira zammı protokol imza töreni (İşletmecinin avukatının evrakları yetiştirememesi sebebiyle iptal)
Seda Aslan;19283746502;6.04.2026;10:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;SKS belgelendirme denetimi ön hazırlık toplantısı (Bakanlık denetim takvimindeki değişiklik nedeniyle ertelendi)
Kenan Yıldız;84756192034;3.04.2026;13:50;Başhekimlik;Başhekim;Ali Haydar Dadacı;Ulusal basında yer alan asılsız haberle ilgili tekzip görüşmesi (Hukuk müşavirliğinin yazılı açıklama kararıyla toplantı iptali)
Turgut Demir;38475619208;2.04.2026;09:10;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Evde bakım birimi sarf malzeme (sonda, enjektör) aylık siparişi (Ödenek yetersizliği sebebiyle sipariş ve randevu iptali)
Meltem Çetin;57483920166;1.04.2026;15:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Arşiv dairesi kompakt raf tamiratı kesin hakediş dosyası onayı (Tamirattaki eksikliklerin giderilmemesi üzerine iade/iptal)
Aykut Gürbüz;92837465108;31.03.2026;11:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Acil servis defibrilatör batarya yenileme teklif sunumu (Acil servisteki kırmızı alan vakası nedeniyle makamın toplantıdan çıkması)
Ceren Dağlı;65748392014;30.03.2026;14:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Tıbbi atık poşetleri kalite standartları dayanıklılık testi (Test ekipmanının arızalanması sebebiyle iptal)
Kerem Yılmaz;48571920366;27.03.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Asansör bakım firması mart ayı hakediş dosyası teslimi (Yeşil etiket belgelerinin eksik olması nedeniyle randevu iptali)
Nihan Polat;10293847568;26.03.2026;16:00;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Yeni atanan hemşirelerin oryantasyon eğitim planlaması (Eğitim salonunun tahsis edilememesi üzerine ertelendi)
Volkan Aslan;37485910262;25.03.2026;10:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Jeneratör yük testi sırasındaki voltaj dalgalanması hasar tespiti (Bilirkişi heyetinin gecikmesi sebebiyle toplantı iptali)
Esra Çelik;58493021768;24.03.2026;13:30;Başhekimlik;Başhekim;Ali Haydar Dadacı;Organ bağışı kampanyası protokol imzası (Sivil toplum kuruluşu başkanının rahatsızlığı nedeniyle iptal)
Fatih Şahin;29384756102;23.03.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Güvenlik personeli yaka kamerası veri depolama bütçesi (Sunucu maliyetlerinin yüksek çıkması üzerine görüşme iptali)
Gizem Koçak;74859610238;20.03.2026;15:45;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;İlaçlama firması haşere kontrol istasyonları şubat ayı raporu (Raporun elektronik ortamda gönderilmesine karar verilerek fiziki randevu iptali)
Uğur Yıldız;19283746506;19.03.2026;11:20;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Ameliyathane yeşil örtü ve cerrahi box önlüğü alım pazarlığı (İlgili cerrahların ameliyatta olması sebebiyle toplantı ertelendi)
Asuman Aslan;84756192032;18.03.2026;14:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Fizik tedavi sıcak paket (hotpack) ısıtma kazanı rezistans arızası (Teknik servisin arızayı iç imkanlarla çözmesi üzerine firma randevusu iptali)
Mert Çetin;38475619204;17.03.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş polikliniği kompozit dolgu malzemesi DMO onayı (DMO stoklarının tükenmesi üzerine alım sürecinin iptali)
Seda Karaca;57483920168;16.03.2026;16:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Engelli otopark alanlarının zemin boyama projesi keşfi (Yoğun yağış uyarısı nedeniyle saha keşfi iptal)
Kenan Dağlı;92837465102;13.03.2026;10:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Yeni hekim odası tefrişat ve ofis mobilyası teslimat koordinasyonu (Mobilyaların montaj ekibinin kaza yapması sebebiyle teslimat iptali)
Turgut Yılmaz;65748392016;12.03.2026;13:15;Başhekimlik;Başhekim;Ali Haydar Dadacı;Yeni hastane binası devir teslim protokolü ön görüşmesi (Bakanlık heyetinin programındaki değişiklik nedeniyle ertelendi)
Meltem Demir;48571920368;11.03.2026;09:05;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Kan şekeri ölçüm çubuğu (stribi) kalibrasyon uyuşmazlığı iade faturaları (Muhasebe sistemindeki arıza sebebiyle iade işleminin ertelenmesi)
Aykut Şahin;10293847564;10.03.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Personel kreşi boya badana malzemesi satın alma dosyası iptali (İhale limitlerinin güncellenmesi üzerine dosyanın yeniden hazırlanması)
Ceren Polat;37485910266;9.03.2026;11:30;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Hasta yıkama ve sedye brandası siparişlerindeki dikiş hataları tutanağı (Firmanın hatalı ürünleri doğrudan değiştirmeyi kabul etmesiyle randevu iptali)
Kerem Çelik;58493021764;6.03.2026;14:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Merkezi oksijen sistemi manifold dairesi aylık kaçak kontrol raporu (Başhekim yardımcısının acil kriz masası toplantısına katılması)
Nihan Gürbüz;29384756106;5.03.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Acil servis kan gazı cihazı reaktif kit siparişi lot mutabakatı (Lot numaralarının firma tarafından yanlış beyan edilmesi üzerine randevu iptali)
Volkan Aslan;74859610234;4.03.2026;16:30;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Yenidoğan işitme tarama sertifikasyon eğitim bütçesi onayı (Eğitimin il sağlık müdürlüğü tarafından ücretsiz verilme kararıyla bütçe iptali)
Esra Demir;19283746504;3.03.2026;10:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Oksijen tüpü depolama alanı zincirleme saha denetimi (Güvenlik zafiyeti tespiti üzerine randevunun acil eylem planına çevrilmesi)
Fatih Yıldız;84756192038;2.03.2026;15:15;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Yemekhane soğuk hava deposu kompresör arızası faturası onayı (Faturanın e-arşiv yerine kağıt ortamında getirilmesi sebebiyle iade/iptal)
Gizem Koç;38475619202;27.02.2026;09:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Kızılay kan merkezi kan tedarik faturalarının mutabakatı (Kızılay temsilcisinin trafik kazası geçirmesi sebebiyle ertelendi)
Uğur Karaca;57483920164;26.02.2026;14:45;Başhekimlik;Başhekim;Ali Haydar Dadacı;Hastane tanıtım filmi çekimleri drone uçuş izni (Olumsuz hava şartları nedeniyle çekimlerin ve görüşmenin iptali)
Asuman Çelik;92837465106;25.02.2026;11:20;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Ameliyathane cerrahi el yıkama ünitelerinin sensör arızaları (Arızanın elektrik panosu kaynaklı olduğunun anlaşılması üzerine teknik servis yönlendirmesiyle randevu iptali)
Mert Yıldız;65748392012;24.02.2026;09:30;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;İndikatör yönetimi sistemi veri girişi eğitimi (HBYS sistemindeki genel arıza sebebiyle eğitimin iptal edilmesi)
Seda Polat;48571920364;23.02.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş röntgen (panoramik) cihazı kurşun yelek yenileme fiyat araştırması (Satınalma memurunun Covid teması sebebiyle izole edilmesiyle iptal)
Kenan Aslan;10293847562;20.02.2026;10:05;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Cerrahi sütür ve zımba (stapler) sarf malzeme numune teslimi (Numunelerin cerrahlar tarafından ameliyathanede doğrudan incelenmesi kararıyla makam ziyareti iptali)
Turgut Dağlı;37485910264;19.02.2026;13:40;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;KVC yoğun bakıma bağışlanan havalı yatak teslim tesellüm (Bağışçının program değişikliği nedeniyle tören ve randevu ertelendi)
Meltem Şahin;29384756104;18.02.2026;09:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Çatı arası ve tesisat şaftları yalıtım malzemesi temizlik keşfi (İş güvenliği uzmanının keşif öncesi risk raporu talep etmesiyle iptal)
Aykut Yılmaz;74859610234;17.02.2026;16:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yeni atanan güvenlik personeli banka promosyonu komisyon kararı (Bankanın promosyon tutarında güncelleme talep etmesi üzerine toplantı iptali)
Ceren Çetin;58493021766;16.02.2026;11:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Hasta bekleme salonlarındaki ekranların bilgi işlem entegrasyonu (Ağ kablolama altyapısının yetersizliği sebebiyle projenin durdurulması ve randevu iptali)
Kerem Gürbüz;19283746506;13.02.2026;09:50;Başhekimlik;Başhekim;Ali Haydar Dadacı;Sağlıkta Kalite Standartları (SKS) saha denetimi kapanış toplantısı (Bakanlık denetçilerinin erken ayrılması sebebiyle toplantı iptal edildi)
Nihan Demir;84756192038;12.02.2026;14:15;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Evde bakım araçlarının kış şartlarına hazırlığı ve lastik değişimi (Araçların sahada görevde olması sebebiyle kontrol iptali)
Volkan Karaca;38475619204;11.02.2026;10:10;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;İlaç hataları kök neden analizi toplantısı ön değerlendirme (Gerekli raporların farmakovijilans biriminden ulaşmaması sebebiyle ertelendi)
Esra Aslan;92837465108;10.02.2026;15:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Poliklinik hasta yönlendirme monitörlerinin HDMI kablo alımı (Kablosuz görüntü aktarım sistemine geçilmesine karar verilerek alım iptal edildi)
Fatih Çelik;57483920164;9.02.2026;09:20;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Yemekhane sözleşmesi yıl sonu enflasyon farkı hakediş düzenlemesi (Firmanın enflasyon farkı talebinden feragat etmesiyle görüşme iptali)
Gizem Yıldız;65748392016;6.02.2026;13:50;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Kadın doğum servisi NST probları arıza tespit tutanağı onayı (Arızanın kullanım hatası kaynaklı olmaması sebebiyle doğrudan garantiye gönderilmesi)
Uğur Polat;48571920368;5.02.2026;11:15;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Engelli tuvaletleri acil çağrı sistemi buton onarım malzemeleri teslimi (Malzemelerin yanlış model gelmesi sebebiyle kargo iadesi ve randevu iptali)
Asuman Dağlı;10293847564;4.02.2026;16:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Temizlik personeli ocak ayı maaş avans talepleri değerlendirmesi (Maliye bakanlığının avans sistemini kapatması üzerine taleplerin reddi ve randevu iptali)
Mert Çetin;37485910268;3.02.2026;09:45;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Taşeron temizlik personeli özlük dosyaları incelenmesi (Firma yetkilisinin evrakları kargoyla göndermesi üzerine fiziki görüşme iptali)
Seda Koçak;29384756102;2.02.2026;14:30;Başhekimlik;Başhekim;Ali Haydar Dadacı;Tıbbi mümessil ziyareti ve yeni nesil antibiyotik etken madde sunumu (Başhekimin genelgesi gereği mümessil ziyaretlerinin başhekim yardımcılarına devredilmesi)
Kenan Yıldız;74859610238;30.01.2026;10:20;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Yenidoğan yoğun bakım (NICU) fototerapi cihazları lamba değişimi (Teknik servisin doğrudan yoğun bakıma müdahale etmesiyle idari randevu iptali)
Turgut Demir;19283746504;29.01.2026;15:10;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Hasta odaları televizyon ve mini buzdolaplarının elektriksel kaçak akım testi (Test cihazının arızalanması sebebiyle tüm işlemlerin durdurulması)
Meltem Aslan;84756192036;28.01.2026;11:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş protez laboratuvarı zirkonyum blok sarf alımı fiyat araştırması (İlgili döner sermaye bütçesinin bloke olması sebebiyle alım iptal edildi)
Aykut Karaca;58493021764;27.01.2026;09:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ali ÇELİK;Odyometri ses yalıtımlı kabin revizyonu doğrudan temin onayı (Revizyon yerine yeni kabin alımına karar verilerek dosyanın iadesi)
Ceren Dağlı;92837465108;26.01.2026;16:15;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Cerrahi alet sayım formları SKS revizyonu toplantısı (Kalite yönetim direktörlüğünün yeni formları sistem üzerinden yayınlamasıyla toplantı iptali)
Kerem Yıldız;38475619202;23.01.2026;13:20;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Tesis güvenlik komitesi birinci çeyrek toplantı tutanaklarının incelenmesi (Komite başkanının Covid-19 olması nedeniyle toplantının online platforma taşınması)
Nihan Polat;65748392014;22.01.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Acil servis kan alma tüplerindeki üretim hatası kaynaklı rücu davası (Firmanın uzlaşma talebiyle yeni tüp tedariği sağlaması üzerine hukuki sürecin durdurulması)
Volkan Demir;48571920366;21.01.2026;14:50;Başhekim Yardımcıları;Başhekim Yardımcısı;Halit KARACA;Tutuklu hasta koğuşu güvenlik tedbirlerinin istişare edilmesi (İlçe Emniyet Müdürlüğünde yaşanan acil durum sebebiyle toplantı ertelendi)
Esra Çelik;10293847568;20.01.2026;10:15;Başhekimlik;Başhekim;Ali Haydar Dadacı;Yeni MR cihazı kurulumu zemin güçlendirme projesi brifingi (Mimarın projede hata tespit edip düzeltme için süre istemesiyle sunum iptali)
Fatih Şahin;37485910262;19.01.2026;15:30;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;İzolasyon odası girişlerinde yaşanan el dezenfektanı otomasyon arızaları saha raporu (Teknik servisin tüm dispenserleri söküp mekanik modele geçmesiyle raporun hükümsüz kalması)
Gizem Aslan;57483920166;16.01.2026;11:20;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Hasta ve çalışan geri bildirim anketlerinin istatistiksel rapor sunumu (Anket sistemindeki veri kaybı sebebiyle sunumun bir sonraki aya ertelenmesi)
Uğur Koçak;29384756104;15.01.2026;09:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Personel giyinme odaları çelik dolap kilit yenileme işi faturası (Faturanın yanlış şirkete kesilmesi sebebiyle iade ve randevu iptali)
Asuman Karaca;74859610232;14.01.2026;16:00;Başhekim Yardımcıları;Başhekim Yardımcısı;Kadir KARABACAK;Morg nakil araçları trafik sigortası ve kasko yenileme işlemleri (Sigorta şirketinin poliçe poliçe limitlerini hatalı girmesi üzerine onay iptali)
Mert Yıldız;19283746508;13.01.2026;13:50;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Evde bakım araçlarının kış şartlarına hazırlığı ve kışlık üniforma polar kaban eksikleri (Satınalma biriminin ihaleyi iptal etmesi sebebiyle süreç baştan başladı)
Seda Demir;84756192034;12.01.2026;09:10;Destek ve Kalite;Destek ve Kalite Müd. Yrd.;Cafer Ünlü;Otopark giriş bariyerleri araç tanıma sistemi (PTS) plaka okuma hataları saha tespiti (Şiddetli kar yağışı sebebiyle plaka okuma testinin yapılamaması)
Kenan Çelik;38475619206;9.01.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yeni yıl bütçe planlaması ve 1. çeyrek ihale takvimi onayı (Bakanlıktan ödeneklerin henüz belli olmaması sebebiyle toplantı ertelendi)
Turgut Polat;92837465104;8.01.2026;10:30;Başhekim Yardımcıları;Başhekim Yardımcısı;Ertuğrul YARALI;Sivil savunma sığınak havalandırma motor revizyon faturası onayı (Firmanın havalandırma motorlarını eksik teslim etmesi sebebiyle hakediş ödemesi iptali)
Meltem Şahin;65748392016;7.01.2026;15:45;Sağlık Bakım Hizmetleri;Sağlık Bakım Hiz. Müd.;Hamide Parlatan;Cerrahi steril eldivenlerde pudra kaynaklı alerji şikayetleri numune görüşmesi (Firmanın alerji yapmayan nitril eldiven numunesi getirememesi üzerine iptal)
Aykut Dağlı;48571920368;6.01.2026;11:15;Destek ve Kalite;Destek ve Kalite Müd.;Erol KAHRAMAN;Atık su arıtma sistemi numune analiz sonuçlarının deşarj standartlarına uygunluğu (İl çevre müdürlüğü laboratuvarının analiz sonuçlarını geciktirmesiyle randevu iptal)
Ceren Aslan;10293847562;5.01.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Tıbbi atık imha komisyonu raporu ve aralık ayı bertaraf faturası (Faturanın KDV tevkifatı uygulanmadan kesilmesi sebebiyle iade/iptal)
Kerem Koçak;57483920168;2.01.2026;16:10;Başhekimlik;Başhekim;Ali Haydar Dadacı;Hastane döner sermaye aralık ayı ödeme tablolarının taslak onayı (Muhasebat genel müdürlüğü sisteminin (KBS) kapalı olması nedeniyle ertelendi)
